е ч {'rel_weight': 0.9772051441950441, 'rel_center': 0.9963010428443876, 'rel_inertia': 0.9991712836147417}
е ш {'rel_weight': 0.968514070634346, 'rel_center': 0.992705364395391, 'rel_inertia': 0.9962854891229854}
е щ {'rel_weight': 0.9570759754227942, 'rel_center': 0.9876940513331184, 'rel_inertia': 0.9947585546562172}
е ъ {'rel_weight': 0.9949169119994816, 'rel_center': 0.9980572220013938, 'rel_inertia': 0.9995709216388826}
е ы {'rel_weight': 0.9815296419398887, 'rel_center': 0.9941749046132837, 'rel_inertia': 0.9975528940056316}
е ь {'rel_weight': 0.9865975371928339, 'rel_center': 0.9967205610753438, 'rel_inertia': 0.9995847578659364}
е э {'rel_weight': 0.9864637583014708, 'rel_center': 0.9975222855340778, 'rel_inertia': 0.9997607292656188}
е ю {'rel_weight': 0.9715993463164093, 'rel_center': 0.9969778567800274, 'rel_inertia': 0.99753489173768}
е я {'rel_weight': 0.9987508871426612, 'rel_center': 0.9979382285528372, 'rel_inertia': 0.9998072250617667}
ё а {'rel_weight': 0.9925143985814392, 'rel_center': 0.9953026995227978, 'rel_inertia': 0.9998372396510625}
ё б {'rel_weight': 0.9863150918603377, 'rel_center': 0.9955921029568111, 'rel_inertia': 0.9986603267691216}
ё в {'rel_weight': 0.9926676868944595, 'rel_center': 0.9961366331117668, 'rel_inertia': 0.9995727371414256}
ё г {'rel_weight': 0.9751816709691974, 'rel_center': 0.9971885072132037, 'rel_inertia': 0.9993038578126686}
ё д {'rel_weight': 0.9956071506896051, 'rel_center': 0.9960391739041337, 'rel_inertia': 0.9990830672882645}
ё е {'rel_weight': 0.9904965669700446, 'rel_center': 0.9963623663447474, 'rel_inertia': 0.9994994271667765}
ё ё {'rel_weight': 0.9968223089528208, 'rel_center': 0.9997354584192358, 'rel_inertia': 0.999791692895879}
ё ж {'rel_weight': 0.9942665747157367, 'rel_center': 0.994747959508194, 'rel_inertia': 0.9990249819729675}
ё з {'rel_weight': 0.9696883752425968, 'rel_center': 0.9974157502014119, 'rel_inertia': 0.999172010163256}
ё и {'rel_weight': 0.9783059654945749, 'rel_center': 0.9955687101610455, 'rel_inertia': 0.9996219532240057}
ё й {'rel_weight': 0.9914246580288767, 'rel_center': 0.9986008045323825, 'rel_inertia': 0.9995726375374502}
ё к {'rel_weight': 0.9721604976725788, 'rel_center': 0.9979928759262252, 'rel_inertia': 0.9989129977131466}
ё л {'rel_weight': 0.9826621406445885, 'rel_center': 0.998338403922488, 'rel_inertia': 0.9993460338243432}
ё м {'rel_weight': 0.9827810994801603, 'rel_center': 0.9938880044192007, 'rel_inertia': 0.9983379484953844}
ё н {'rel_weight': 0.978994369373048, 'rel_center': 0.997324495069697, 'rel_inertia': 0.9990523129217791}
ё о {'rel_weight': 0.982489342909911, 'rel_center': 0.9969715542295068, 'rel_inertia': 0.9995187212670047}
ё п {'rel_weight': 0.9797440885767291, 'rel_center': 0.9995036965394476, 'rel_inertia': 0.9991261130394123}
ё р {'rel_weight': 0.999375256129668, 'rel_center': 0.9906355690004544, 'rel_inertia': 0.998358533892753}
ё с {'rel_weight': 0.9698834694591681, 'rel_center': 0.9979359152404574, 'rel_inertia': 0.9992211006916321}
ё т {'rel_weight': 0.9801724110985783, 'rel_center': 0.9971725480997331, 'rel_inertia': 0.9966660019277653}
ё у {'rel_weight': 0.9816894566219687, 'rel_center': 0.9918395497201027, 'rel_inertia': 0.9984980827704673}
ё ф {'rel_weight': 0.9378118825604751, 'rel_center': 0.9894113062279458, 'rel_inertia': 0.99491328560466}
ё х {'rel_weight': 0.9715696409023915, 'rel_center': 0.997840370068005, 'rel_inertia': 0.9989923602011602}
ё ц {'rel_weight': 0.9887880990449274, 'rel_center': 0.9915100463121433, 'rel_inertia': 0.9990433391257748}
ё ч {'rel_weight': 0.9649921787437019, 'rel_center': 0.9986955911591298, 'rel_inertia': 0.9985129400745428}
ё ш {'rel_weight': 0.9807270360856882, 'rel_center': 0.9897808833054176, 'rel_inertia': 0.9966536231203534}
ё щ {'rel_weight': 0.9692889408741364, 'rel_center': 0.9850232163754156, 'rel_inertia': 0.995217713292712}
ё ъ {'rel_weight': 0.9827039465481394, 'rel_center': 0.9949324432532151, 'rel_inertia': 0.9996976813615582}
ё ы {'rel_weight': 0.9937426073912309, 'rel_center': 0.9910251308807346, 'rel_inertia': 0.9978902889020506}
ё ь {'rel_weight': 0.9743845717414917, 'rel_center': 0.9935336748199454, 'rel_inertia': 0.9994990074040272}
ё э {'rel_weight': 0.9742507928501286, 'rel_center': 0.9972748967059927, 'rel_inertia': 0.9992704361420084}
ё ю {'rel_weight': 0.9838123117677515, 'rel_center': 0.9940239588741909, 'rel_inertia': 0.9978026475650402}
ё я {'rel_weight': 0.9890361474059965, 'rel_center': 0.9979264461904268, 'rel_inertia': 0.9992765429050567}
ж а {'rel_weight': 0.9905236951663874, 'rel_center': 0.9993147490610009, 'rel_inertia': 0.9991939969136903}
ж б {'rel_weight': 0.9883057952753895, 'rel_center': 0.9910771257649931, 'rel_inertia': 0.9984485070194649}
